global_step,eval_loss,train_loss,matches,wer
1617,4.776367397308349,4.159493923187256,2,98.52947445000001
2000,4.664779202461243,4.560837745666504,7,96.32596725
3234,4.510578995704651,3.3395016193389893,1,99.68474205
4000,4.083432197570801,3.600855588912964,4,95.8329878
4851,3.9690769248008726,3.571035861968994,2,96.96814135
6000,4.040066794395447,3.5244271755218506,1,94.49606155
6468,4.500650545120239,3.1320736408233643,15,85.74894875000001
8000,3.905725968837738,3.247260332107544,3,89.61772435
8085,3.8644265952110293,1.685581922531128,9,93.83297535
9702,3.965248504161835,1.338858723640442,1,99.73725200000001
10000,4.019750602245331,2.3252787590026855,0,99.97894295
11319,3.926496624469757,2.280146598815918,0,101.3725176
12000,3.9427701621055604,2.3629558086395264,0,101.25859225
12936,3.914241327762604,1.1114083528518677,0,100.76921220000001
14000,3.9840634183883665,1.3857356309890747,0,100.48055895
14553,3.995539999485016,0.37268275022506714,0,100.9316511
16000,3.9811979303359983,2.13335919380188,0,101.5366814
16170,3.998017354488373,1.2871086597442627,0,101.49538519999999
