global_step,eval_loss,train_loss,matches,wer
809,4.388663780212402,4.263289451599121,0,137.13823135
1618,4.119499186515808,3.4708564281463623,0,249.14115495000001
2000,4.100930446624756,3.095569610595703,0,205.9388947
2427,4.048809177398682,3.424687147140503,0,282.58327555
3236,4.081823424339294,1.9158626794815063,0,182.78760200000002
4000,4.221576746940613,2.7003307342529297,0,217.3809801
4045,4.215199565887451,2.484931707382202,0,187.60829235
4854,4.346947108268738,2.216562509536743,0,226.30784065
5663,4.423310537338256,0.9971392154693604,0,234.64469865
6000,4.50885728263855,1.067012906074524,0,239.76982290000004
6472,4.536578633308411,1.3069851398468018,0,158.33828645000003
7281,4.572404596328735,1.0140546560287476,0,194.02328555
8000,4.6431782321929935,0.6126672029495239,0,181.0121715
8090,4.599856861114502,0.2792353332042694,0,178.89513445
8899,4.688484015464783,0.8259649872779846,0,198.0896638
9708,4.713707862854004,0.19225101172924042,0,196.9757621
10000,4.732284190177918,0.2626973092556,0,176.79500125
10517,4.753353691101074,0.36216387152671814,0,202.39646015
11326,4.792221538543701,0.25283345580101013,0,185.98178695000004
12000,4.806649112701416,0.1876462697982788,0,192.12125154999998
12135,4.835875719070435,0.28692424297332764,0,175.50687150000002
12944,4.823205255508423,0.11682972311973572,0,188.20768665
13753,4.868530850410462,0.12102758139371872,0,189.48012905
14000,4.889455326080323,0.10827264189720154,0,192.5146521
14562,4.8827510805130006,0.13152234256267548,0,190.31121115
15371,4.878986225128174,0.08543141186237335,0,194.10955235
16000,4.886186165809631,0.07844825834035873,0,195.99704745000003
16180,4.8887118663787845,0.05367501452565193,0,196.31574085
